t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
2.12,-370182.175604165,-890040.461672496,-890040.461672496,0.000600000000000002,-0.000300000000000001,-0.000300000000000001,0,0.000600000000246718,716754.366316385,519858.286068331,0.00640949938949956,0.5,0.00640949938949956,100000000,0.25,100000,0.577350269189626,1
2.14,-375176.163764644,-899721.949832974,-899721.949832974,0.000699999999999999,-0.00035,-0.00035,0,0.00070000000021147,724873.354476864,524545.78606833,0.00649387438949955,0.5,0.00649387438949955,100000000,0.25,100000,0.577350269189626,1
2.16,-380170.151925123,-909403.437993454,-909403.437993454,0.000800000000000001,-0.000400000000000001,-0.000400000000000001,0,0.000800000000185039,732992.342637344,529233.286068331,0.00657824938949955,0.5,0.00657824938949955,100000000,0.25,100000,0.577350269189626,1
2.18,-385164.140085602,-919084.926153933,-919084.926153933,0.0009,-0.00045,-0.00045,0,0.000900000000164477,741111.330797823,533920.78606833,0.00666262438949955,0.5,0.00666262438949955,100000000,0.25,100000,0.577350269189626,1
2.2,-390158.128246082,-928766.414314412,-928766.414314412,0.001,-0.000500000000000001,-0.000500000000000001,0,0.00100000000014803,749230.318958302,538608.286068331,0.00674699938949956,0.5,0.00674699938949956,100000000,0.25,100000,0.577350269189626,1
2.22,-395152.116406561,-938447.902474891,-938447.902474891,0.0011,-0.00055,-0.00055,0,0.00110000000013457,757349.307118781,543295.786068331,0.00683137438949955,0.5,0.00683137438949955,100000000,0.25,100000,0.577350269189626,1
2.24,-400146.10456704,-948129.39063537,-948129.39063537,0.0012,-0.000600000000000001,-0.000600000000000001,0,0.00120000000012336,765468.29527926,547983.286068331,0.00691574938949956,0.5,0.00691574938949956,100000000,0.25,100000,0.577350269189626,1
2.26,-405140.092727519,-957810.878795849,-957810.878795849,0.0013,-0.00065,-0.00065,0,0.00130000000011387,773587.283439739,552670.786068331,0.00700012438949955,0.5,0.00700012438949955,100000000,0.25,100000,0.577350269189626,1
2.28,-410134.080887998,-967492.366956329,-967492.366956329,0.0014,-0.000700000000000001,-0.000700000000000001,0,0.00140000000010574,781706.271600218,557358.286068331,0.00708449938949956,0.5,0.00708449938949956,100000000,0.25,100000,0.577350269189626,1
2.3,-415128.069048477,-977173.855116807,-977173.855116807,0.0015,-0.00075,-0.00075,0,0.00150000000009869,789825.259760697,562045.78606833,0.00716887438949955,0.5,0.00716887438949955,100000000,0.25,100000,0.577350269189626,1
2.32,-420122.057208956,-986855.343277287,-986855.343277287,0.0016,-0.000800000000000001,-0.000800000000000001,0,0.00160000000009252,797944.247921177,566733.286068331,0.00725324938949956,0.5,0.00725324938949956,100000000,0.25,100000,0.577350269189626,1
2.34,-425116.045369435,-996536.831437766,-996536.831437766,0.0017,-0.00085,-0.00085,0,0.00170000000008708,806063.236081655,571420.78606833,0.00733762438949955,0.5,0.00733762438949955,100000000,0.25,100000,0.577350269189626,1
2.36,-430110.033529914,-1006218.31959824,-1006218.31959824,0.0018,-0.000900000000000001,-0.000900000000000001,0,0.00180000000008224,814182.224242135,576108.286068331,0.00742199938949956,0.5,0.00742199938949956,100000000,0.25,100000,0.577350269189626,1
