t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q
1.92,-158369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00016,-0.000317187256881965,-0.000317187256881965,-0.000474374513763931,0.00031812483838663,52789675.9797618,158369027.939285,0.000951845139696427
1.94,-166369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00012,-0.00030918725686662,-0.00030918725686662,-0.00049837451373324,0.000286124838428441,55456342.6464285,166369027.939285,0.000951845139696427
1.96,-174369027.939285,7.19929495628508e-09,7.88116212472301e-09,8.00000000000003e-05,-0.000301187256860553,-0.000301187256860553,-0.000522374513721106,0.000254124838489544,58123009.3130952,174369027.939286,0.000951845139696427
1.98,-182369027.939285,7.19929495628508e-09,7.88116212472301e-09,4.00000000000003e-05,-0.000293187256858158,-0.000293187256858158,-0.000546374513716315,0.000222124838571864,60789675.9797618,182369027.939285,0.000951845139696427
2,-190369027.939285,7.19929495628508e-09,7.88116212472301e-09,2.76132740804902e-19,-0.000285187256855762,-0.000285187256855762,-0.000570374513711523,0.000190124838682434,63456342.6464285,190369027.939285,0.000951845139696427
2.02,-198369027.939286,7.19929495628508e-09,7.88116212472301e-09,-4.00000000000001e-05,-0.000277187256854815,-0.000277187256854815,-0.000594374513709629,0.000158124838839367,66123009.3130952,198369027.939286,0.000951845139696427
2.04,-206369027.939286,7.19929495628508e-09,7.88116212472301e-09,-8.00000000000006e-05,-0.000269187256854698,-0.000269187256854698,-0.000618374513709397,0.000126124839076808,68789675.9797619,206369027.939286,0.000951845139696427
2.06,-209834070.194029,7.08404497990698e-09,7.76806037752853e-09,-0.00012,-0.000254384820236807,-0.000254384820236807,-0.000628769640473613,8.95898818101752e-05,69944690.0646764,209834070.194029,0.000974519928422709
2.08,-210219800.472096,6.66494745079499e-09,7.43183534320322e-09,-0.000160000000000001,-0.000234963415653906,-0.000234963415653906,-0.000629926831307812,4.99756133979763e-05,70073266.8240319,210219800.472096,0.00101259127703238
2.1,-210601830.528773,6.02207597871892e-09,6.91667617342306e-09,-0.000200000000000001,-0.000215536460738922,-0.000215536460738922,-0.000631072921477846,1.03576547844444e-05,70200610.1762578,210601830.528773,0.00105068112674899
